Dataset:              Station Location Data
File Name:            va92_1_2.txt
Date Created:         02/23/96
# Variables:          5
# Header Records:     15
# Data Records:       103
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              LATDEG       Latitude (decimal degrees)
              LNGDEG       Longitude (decimal degrees)
              DEPTH        Depth (m)
              SYSTEM       Large water body system

STA_NAME     LATDEG     LNGDEG     DEPTH   SYSTEM
VA92-451    36.8642   -76.5188       2.5   CHESAPEAKE BAY
VA92-452    36.8807   -76.0122       3.2   CHESAPEAKE BAY
VA92-453    36.9270   -76.4172       5.0   CHESAPEAKE BAY
VA92-454    37.0145   -76.1727       6.3   CHESAPEAKE BAY
VA92-455    37.0307   -75.9672       5.6   CHESAPEAKE BAY
VA92-457    37.0869   -76.5992       4.0   CHESAPEAKE BAY
VA92-460    37.1630   -76.0905       8.6   CHESAPEAKE BAY
VA92-461    37.2263   -76.8953       4.1   CHESAPEAKE BAY
VA92-462    37.2953   -76.2143      10.0   CHESAPEAKE BAY
VA92-464    37.3117   -77.1062       7.7   CHESAPEAKE BAY
VA92-466    37.3307   -76.3938       5.7   CHESAPEAKE BAY
VA92-467    37.3178   -77.2836       2.7   CHESAPEAKE BAY
VA92-468    37.3453   -76.8744       5.1   CHESAPEAKE BAY
VA92-469    37.3557   -77.2705       6.1   CHESAPEAKE BAY
VA92-470    37.4440   -76.1318      11.7   CHESAPEAKE BAY
VA92-471    37.5613   -76.9045       5.0   CHESAPEAKE BAY
VA92-472    37.5762   -76.2560       7.4   CHESAPEAKE BAY
VA92-473    37.5923   -76.0488      14.7   CHESAPEAKE BAY
VA92-474    37.7248   -76.1730      16.6   CHESAPEAKE BAY
VA92-475    37.7407   -75.9655       6.8   CHESAPEAKE BAY
VA92-477    37.8114   -76.6944       4.3   CHESAPEAKE BAY
VA92-478    37.8732   -76.0897      10.7   CHESAPEAKE BAY
VA92-481    37.9836   -76.9056       2.1   CHESAPEAKE BAY
VA92-482    38.0055   -76.2142      21.6   CHESAPEAKE BAY
VA92-483    38.0639   -75.7928       3.3   CHESAPEAKE BAY
VA92-484    38.0948   -77.0350       6.8   CHESAPEAKE BAY
VA92-485    38.1236   -76.4978       5.5   CHESAPEAKE BAY
VA92-486    38.1342   -76.4827       4.8   CHESAPEAKE BAY
VA92-487    38.1540   -76.1303       6.8   CHESAPEAKE BAY
VA92-488    38.2153   -75.8514       2.7   CHESAPEAKE BAY
VA92-490    38.2446   -76.8108       2.0   CHESAPEAKE BAY
VA92-491    38.2863   -76.2553       6.1   CHESAPEAKE BAY
VA92-492    38.3463   -76.8542       3.0   CHESAPEAKE BAY
VA92-493    38.3536   -77.1934       9.6   CHESAPEAKE BAY
VA92-494    38.3958   -77.3250       3.3   CHESAPEAKE BAY
VA92-495    38.4015   -75.0883       2.4   MARYLAND COAST
VA92-497    38.4185   -76.3807      15.1   CHESAPEAKE BAY
VA92-499    38.6175   -77.2125       2.7   CHESAPEAKE BAY
VA92-500    38.6992   -76.4222      19.3   CHESAPEAKE BAY
VA92-501    38.7423   -76.3103       2.4   CHESAPEAKE BAY
VA92-502    38.7781   -77.0358       2.5   CHESAPEAKE BAY
VA92-503    38.9237   -75.2817       2.4   DELAWARE BAY
